english,transcription,russian,mnemonic_list
lampshade,['læmpʃeɪd],абажур,['ЛАМПочки вокруг ШЕИ висяТ как абажур.']
abbey,['æbɪ],аббатство,['в монастыре живут ОБИженные монахи']
apricot,['eɪprɪkɔt],абрикос,['АПРЕльский КОТ ест абрикос']
utter,['ʌtə],абсолютный,"['он Абсолютно ТЕРпеливый, не произнёс в ответ ни слова.']"
abstract,['æbstrækt],абстрактный,['абстрактные картины пишутся АБСТРАКционистами.']
nonsense,['nɔns(ə)n(t)s],абсурд,"['НОНСЕНС - это абсурд, бессмыслица, вздор, ерунда, чепуха']"
absurd,[əb'sɜːd],абсурдный,['Абсурдный – значит полный АБСУРДа']
advance,[əd'vɑːn(t)s],аванс,['ЭДику Выдали авАНС']
adventure,[əd'venʧə],авантюра,['ЭТО ВЕНЧАние в церкви - полная авантюра.']
accident,['æksɪd(ə)nt],авария,"['по фАКСу получены сообщения об инцИДЕНТе и аварии', 'АКкуратно к СИДЕНию пристегивайся, чтобы при аварии не пострадать', 'КАк ЖАЛь, чТо проИзошла авария с ним']"
august,[ɔː'gʌst],август,"[""О'ГЭСТ - август.""]"
(airport),shuttle,автобус,"['Регулярный автобус до аэропорта потоп направляется в ШОТЛандию', 'Автобус наехал на БАСоножку (босоножку).', 'собака БАСкервиллей есть в каждом автобусе', 'пел БАСом в автобусе', 'автобусу стало жарко и он с удовольствием плюхнулся в БАСейн', 'БАСкетболисты после проигранного матча уныло заползали в автобус', 'в автобусе он поет БАСом', 'БАСков сел в автобус. денег на такси маловато?', 'Автобусом управляет Карабас-БараБАС', 'Автобусом управляет Карабас-БараБАС', 'КАЧали качали автобус пока он не сорвался в пропасть', 'Вошли в автобус с ГИТарой ОНколог и Карабас-БараБАС']"
car,[kɑː],автомашина,['это не машина эо КАкашка']
car,[kɑː],автомобиль,"['Автомобиль проехал через большую кучу КА-ка.', 'автомобиль вместо КАреты', 'КАдиллак – это классная машина! Раз прокатишься – и на другой автомобиль уже не взглянешь. Элвиса Пресли опять же вспоминаешь. Розовый КАдиллак…Эх!', 'Машина с КАРманами']"
authority,[ɔː'θɔrɪtɪ],авторитет,['власть АВТОРИТЕта']
agent,['eɪʤ(ə)nt],агент,"['ЭЙ, ДЖЕНТльмен, вы агент разведки?']"
attorney,[ə'təːnɪ],адвокат,"['А ТОНЕшь адвокат!', 'АнТОНИЙ лучший адвокат', 'БЕРИСь ТЫ за это дело, как лучший адвокат.', 'адвокат рисует в БЕРЕСТЕ', 'Адвокаты ЛОЯЛьны к своим клиентам', 'адвокат (юрист) ЛОЯльно относился к подзащитному', 'СОЛИСТОм в тюремном хоре был адвокат заключённых, поскольку они его однажды побили, и он стал петь очень тонким голосом', 'СОЛИСт набИл морду ТЕтке дирижёру и ему пришлось воспользоваться услугами адвоката', 'Англиское произношение адвокат произошло видимо от название каких-то глистов и поэтому звучит как СОЛИСИТЭр', 'СЕЛИ СИТО вокруг адвокатов и начали жаловаться, что ими носят воду.']"
bar,[bɑː],адвокатура,['БАбушка в адвокатуре']
receptionist,[rɪ'sepʃ(ə)nɪst],администратор,['Администратор работает на РЕСЕПШН']
address,[ə'dres],адрес,"['От слова АДРЕСовать - обращаться.', 'Адрес есть у каждого АДРЕСАТА']"
stork,[stɔːk],аист,['лиСТОК проглотил аист вместе с жабой']
precision,[prɪ'sɪʒ(ə)n],аккуратность,['ПРОСИ ЖИЗНи аккуратно']
natty,['nætɪ],аккуратный,"['Наш шеф хоть и НЫТИк, но аккуратный.', 'аккуратно вставляет НИТку в иголку', 'Аккуратный человек даже НИТочки с пола собирает']"
indictment,[ɪn'daɪtmənt],акт,['ИХ ДАЕТ МЕНТ - обвинительный акт.']
asset,['æset],актив,['ОСобо СЕнсационный актив']
shark,[ʃɑːk],акула,['морской ШАКал это акула']
accent,['æks(ə)nt],акцент,"['Экающий аКЦЕНТ у мальчика', 'Акцент – будет АКЦЕНТ, но с английским произношением']"
punctuate,"['pʌŋkʧueɪt,",акцентировать,['даже ПАНК ЧУЕТ как акцентировать на себе внимание окружающих']
shareholder,['ʃeəˌhəuldə],акционер,['Акционер компании любит ШЕРШавые бумаги и ХОЛоДник']
stock,[stɔk],акция,"['в ГЛАВНЫЙ СТВОЛ идёт СТОК всех ЗАПАСов, это ОПОРА ФОНДа, который СНАБЖАЮТ АКЦИИ']"
allergy,['æləʤɪ],аллергия,['Если аллергия – иди к АЛЛЕРГологу']
diamond,['daɪəmənd],алмаз,"['ДАЙ, МОНТЕ Кристо, свои бриллианты мне.']"
greedy,['griːdɪ],алчный,['ребенок жадно ест ГРИбы ДИкоростущие']
scarlet,['skɑːlət],алый,['При СКАрЛатИНе - алое горло.']
barn,[bɑːn],амбар,['БАНки - в амбаре']
ambition,[æm'bɪʃ(ə)n],амбиция,"[""ЭМБИ'ШАН созвучно с амбицией.""]"
assessment,[ə'sesmənt],анализ,"['АЗИЗ был МЕНТом, дающим анализ', 'БЛУДницу повели на ТЕСТ здать анализ крови', 'Анализ крови сдавал по БЛАТу ТЕСТировщик']"
